,begin_dateTime_mpt,asset_ID,block_price,offer_control
25579,2023-03-01 00:00:00,CMH1,999.99,City of Medicine Hat
25580,2023-03-01 00:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25581,2023-03-01 00:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25582,2023-03-01 00:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
25583,2023-03-01 00:00:00,CMH1,100.0,City of Medicine Hat
25584,2023-03-01 00:00:00,CMH1,85.0,City of Medicine Hat
25585,2023-03-01 00:00:00,CMH1,75.0,City of Medicine Hat
25586,2023-03-01 00:00:00,EC01,57.7,ENMAX Cavalier LP
25587,2023-03-01 00:00:00,CMH1,35.0,City of Medicine Hat
25588,2023-03-01 00:00:00,CMH1,30.65,City of Medicine Hat
25589,2023-03-01 00:00:00,EC01,28.29,ENMAX Cavalier LP
25590,2023-03-01 00:00:00,CAL1,24.19,Calgary Energy Centre No. 2 Inc.
25591,2023-03-01 00:00:00,CAL1,23.19,Calgary Energy Centre No. 2 Inc.
25592,2023-03-01 00:00:00,NX01,0.0,Nexen Inc.
25593,2023-03-01 00:00:00,EC01,0.0,ENMAX Cavalier LP
25594,2023-03-01 00:00:00,FNG1,0.0,Powerex Corp.
25595,2023-03-01 00:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
25596,2023-03-01 00:00:00,CMH1,0.0,City of Medicine Hat
25597,2023-03-01 00:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
25598,2023-03-01 01:00:00,CMH1,999.99,City of Medicine Hat
25599,2023-03-01 01:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25600,2023-03-01 01:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25601,2023-03-01 01:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
25602,2023-03-01 01:00:00,CMH1,100.0,City of Medicine Hat
25603,2023-03-01 01:00:00,CMH1,85.0,City of Medicine Hat
25604,2023-03-01 01:00:00,CMH1,75.0,City of Medicine Hat
25605,2023-03-01 01:00:00,EC01,57.7,ENMAX Cavalier LP
25606,2023-03-01 01:00:00,CMH1,35.0,City of Medicine Hat
25607,2023-03-01 01:00:00,CMH1,30.65,City of Medicine Hat
25608,2023-03-01 01:00:00,EC01,28.29,ENMAX Cavalier LP
25609,2023-03-01 01:00:00,CAL1,24.19,Calgary Energy Centre No. 2 Inc.
25610,2023-03-01 01:00:00,CAL1,23.19,Calgary Energy Centre No. 2 Inc.
25611,2023-03-01 01:00:00,NX01,0.0,Nexen Inc.
25612,2023-03-01 01:00:00,EC01,0.0,ENMAX Cavalier LP
25613,2023-03-01 01:00:00,FNG1,0.0,Powerex Corp.
25614,2023-03-01 01:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
25615,2023-03-01 01:00:00,CMH1,0.0,City of Medicine Hat
25616,2023-03-01 01:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
25617,2023-03-01 02:00:00,CMH1,999.99,City of Medicine Hat
25618,2023-03-01 02:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25619,2023-03-01 02:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25620,2023-03-01 02:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
25621,2023-03-01 02:00:00,CMH1,100.0,City of Medicine Hat
25622,2023-03-01 02:00:00,CMH1,85.0,City of Medicine Hat
25623,2023-03-01 02:00:00,CMH1,75.0,City of Medicine Hat
25624,2023-03-01 02:00:00,EC01,57.7,ENMAX Cavalier LP
25625,2023-03-01 02:00:00,CMH1,35.0,City of Medicine Hat
25626,2023-03-01 02:00:00,CMH1,30.65,City of Medicine Hat
25627,2023-03-01 02:00:00,EC01,28.29,ENMAX Cavalier LP
25628,2023-03-01 02:00:00,CAL1,24.19,Calgary Energy Centre No. 2 Inc.
25629,2023-03-01 02:00:00,CAL1,23.19,Calgary Energy Centre No. 2 Inc.
25630,2023-03-01 02:00:00,EC01,0.0,ENMAX Cavalier LP
25631,2023-03-01 02:00:00,FNG1,0.0,Powerex Corp.
25632,2023-03-01 02:00:00,NX01,0.0,Nexen Inc.
25633,2023-03-01 02:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
25634,2023-03-01 02:00:00,CMH1,0.0,City of Medicine Hat
25635,2023-03-01 02:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
25636,2023-03-01 03:00:00,CMH1,999.99,City of Medicine Hat
25637,2023-03-01 03:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25638,2023-03-01 03:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25639,2023-03-01 03:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
25640,2023-03-01 03:00:00,CMH1,100.0,City of Medicine Hat
25641,2023-03-01 03:00:00,CMH1,85.0,City of Medicine Hat
25642,2023-03-01 03:00:00,CMH1,75.0,City of Medicine Hat
25643,2023-03-01 03:00:00,EC01,57.7,ENMAX Cavalier LP
25644,2023-03-01 03:00:00,CMH1,35.0,City of Medicine Hat
25645,2023-03-01 03:00:00,CMH1,30.65,City of Medicine Hat
25646,2023-03-01 03:00:00,EC01,28.29,ENMAX Cavalier LP
25647,2023-03-01 03:00:00,CAL1,24.19,Calgary Energy Centre No. 2 Inc.
25648,2023-03-01 03:00:00,CAL1,23.19,Calgary Energy Centre No. 2 Inc.
25649,2023-03-01 03:00:00,EC01,0.0,ENMAX Cavalier LP
25650,2023-03-01 03:00:00,FNG1,0.0,Powerex Corp.
25651,2023-03-01 03:00:00,NX01,0.0,Nexen Inc.
25652,2023-03-01 03:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
25653,2023-03-01 03:00:00,CMH1,0.0,City of Medicine Hat
25654,2023-03-01 03:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
25655,2023-03-01 04:00:00,CMH1,999.99,City of Medicine Hat
25656,2023-03-01 04:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25657,2023-03-01 04:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25658,2023-03-01 04:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
25659,2023-03-01 04:00:00,CMH1,100.0,City of Medicine Hat
25660,2023-03-01 04:00:00,CMH1,85.0,City of Medicine Hat
25661,2023-03-01 04:00:00,CMH1,75.0,City of Medicine Hat
25662,2023-03-01 04:00:00,EC01,57.7,ENMAX Cavalier LP
25663,2023-03-01 04:00:00,CMH1,35.0,City of Medicine Hat
25664,2023-03-01 04:00:00,CMH1,30.65,City of Medicine Hat
25665,2023-03-01 04:00:00,EC01,28.29,ENMAX Cavalier LP
25666,2023-03-01 04:00:00,CAL1,24.19,Calgary Energy Centre No. 2 Inc.
25667,2023-03-01 04:00:00,CAL1,23.19,Calgary Energy Centre No. 2 Inc.
25668,2023-03-01 04:00:00,EC01,0.0,ENMAX Cavalier LP
25669,2023-03-01 04:00:00,FNG1,0.0,Powerex Corp.
25670,2023-03-01 04:00:00,NX01,0.0,Nexen Inc.
25671,2023-03-01 04:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
25672,2023-03-01 04:00:00,CMH1,0.0,City of Medicine Hat
25673,2023-03-01 04:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
25674,2023-03-01 05:00:00,CMH1,999.99,City of Medicine Hat
25675,2023-03-01 05:00:00,CAL1,910.0,Calgary Energy Centre No. 2 Inc.
25676,2023-03-01 05:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
25677,2023-03-01 05:00:00,CAL1,315.55,Calgary Energy Centre No. 2 Inc.
