,begin_dateTime_mpt,asset_ID,block_price,offer_control
130556,2023-09-01 00:00:00,CMH1,999.99,City of Medicine Hat
130557,2023-09-01 00:00:00,EC01,999.96,ENMAX Cavalier LP
130558,2023-09-01 00:00:00,CAL1,777.72,Calgary Energy Centre No. 2 Inc.
130559,2023-09-01 00:00:00,CAL1,777.71,Calgary Energy Centre No. 2 Inc.
130560,2023-09-01 00:00:00,EC01,615.15,ENMAX Cavalier LP
130561,2023-09-01 00:00:00,EGC1,501.15,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
130562,2023-09-01 00:00:00,CAL1,275.77,Calgary Energy Centre No. 2 Inc.
130563,2023-09-01 00:00:00,EGC1,148.27,Capital Power GP Holdings Inc.
130564,2023-09-01 00:00:00,CMH1,95.0,City of Medicine Hat
130565,2023-09-01 00:00:00,CMH1,65.0,City of Medicine Hat
130566,2023-09-01 00:00:00,CMH1,45.0,City of Medicine Hat
130567,2023-09-01 00:00:00,EGC1,44.1,Capital Power GP Holdings Inc.
130568,2023-09-01 00:00:00,CMH1,30.0,City of Medicine Hat
130569,2023-09-01 00:00:00,CMH1,25.65,City of Medicine Hat
130570,2023-09-01 00:00:00,EGC1,21.09,ENMAX Energy Corporation
130571,2023-09-01 00:00:00,CAL1,20.83,Calgary Energy Centre No. 2 Inc.
130572,2023-09-01 00:00:00,CAL1,19.83,Calgary Energy Centre No. 2 Inc.
130573,2023-09-01 00:00:00,EGC1,19.65,ENMAX Energy Corporation
130574,2023-09-01 00:00:00,EC01,19.59,ENMAX Cavalier LP
130575,2023-09-01 00:00:00,EGC1,19.1,ENMAX Energy Corporation
130576,2023-09-01 00:00:00,FNG1,0.0,Powerex Corp.
130577,2023-09-01 00:00:00,EC01,0.0,ENMAX Cavalier LP
130578,2023-09-01 00:00:00,NX01,0.0,Nexen Inc.
130579,2023-09-01 00:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
130580,2023-09-01 00:00:00,CMH1,0.0,City of Medicine Hat
130581,2023-09-01 00:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
130582,2023-09-01 01:00:00,CMH1,999.99,City of Medicine Hat
130583,2023-09-01 01:00:00,EC01,999.96,ENMAX Cavalier LP
130584,2023-09-01 01:00:00,CAL1,777.72,Calgary Energy Centre No. 2 Inc.
130585,2023-09-01 01:00:00,CAL1,777.71,Calgary Energy Centre No. 2 Inc.
130586,2023-09-01 01:00:00,EC01,615.15,ENMAX Cavalier LP
130587,2023-09-01 01:00:00,EGC1,501.15,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
130588,2023-09-01 01:00:00,CAL1,275.77,Calgary Energy Centre No. 2 Inc.
130589,2023-09-01 01:00:00,EGC1,167.47,ENMAX Energy Corporation
130590,2023-09-01 01:00:00,EGC1,148.27,Capital Power GP Holdings Inc.
130591,2023-09-01 01:00:00,CMH1,95.0,City of Medicine Hat
130592,2023-09-01 01:00:00,EGC1,71.1,Capital Power GP Holdings Inc.
130593,2023-09-01 01:00:00,CMH1,65.0,City of Medicine Hat
130594,2023-09-01 01:00:00,CMH1,45.0,City of Medicine Hat
130595,2023-09-01 01:00:00,CMH1,30.0,City of Medicine Hat
130596,2023-09-01 01:00:00,CMH1,25.65,City of Medicine Hat
130597,2023-09-01 01:00:00,CAL1,20.83,Calgary Energy Centre No. 2 Inc.
130598,2023-09-01 01:00:00,CAL1,19.83,Calgary Energy Centre No. 2 Inc.
130599,2023-09-01 01:00:00,EGC1,19.65,ENMAX Energy Corporation
130600,2023-09-01 01:00:00,EC01,19.59,ENMAX Cavalier LP
130601,2023-09-01 01:00:00,EGC1,19.1,ENMAX Energy Corporation
130602,2023-09-01 01:00:00,FNG1,0.0,Powerex Corp.
130603,2023-09-01 01:00:00,EC01,0.0,ENMAX Cavalier LP
130604,2023-09-01 01:00:00,NX01,0.0,Nexen Inc.
130605,2023-09-01 01:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
130606,2023-09-01 01:00:00,CMH1,0.0,City of Medicine Hat
130607,2023-09-01 01:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
130608,2023-09-01 02:00:00,CMH1,999.99,City of Medicine Hat
130609,2023-09-01 02:00:00,EC01,999.96,ENMAX Cavalier LP
130610,2023-09-01 02:00:00,CAL1,777.72,Calgary Energy Centre No. 2 Inc.
130611,2023-09-01 02:00:00,CAL1,777.71,Calgary Energy Centre No. 2 Inc.
130612,2023-09-01 02:00:00,EC01,615.15,ENMAX Cavalier LP
130613,2023-09-01 02:00:00,EGC1,501.15,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
130614,2023-09-01 02:00:00,CAL1,275.77,Calgary Energy Centre No. 2 Inc.
130615,2023-09-01 02:00:00,EGC1,167.47,ENMAX Energy Corporation
130616,2023-09-01 02:00:00,EGC1,148.27,Capital Power GP Holdings Inc.
130617,2023-09-01 02:00:00,CMH1,95.0,City of Medicine Hat
130618,2023-09-01 02:00:00,EGC1,71.1,Capital Power GP Holdings Inc.
