,begin_dateTime_mpt,asset_ID,block_price,offer_control
148177,2023-10-01 00:00:00,CMH1,999.99,City of Medicine Hat
148178,2023-10-01 00:00:00,CAL1,703.34,Calgary Energy Centre No. 2 Inc.
148179,2023-10-01 00:00:00,CAL1,703.33,Calgary Energy Centre No. 2 Inc.
148180,2023-10-01 00:00:00,EC01,572.0,ENMAX Cavalier LP
148181,2023-10-01 00:00:00,EGC1,555.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
148182,2023-10-01 00:00:00,EGC1,46.71,Capital Power GP Holdings Inc.
148183,2023-10-01 00:00:00,EGC1,40.88,Capital Power GP Holdings Inc.
148184,2023-10-01 00:00:00,CMH1,30.0,City of Medicine Hat
148185,2023-10-01 00:00:00,CAL1,21.98,Calgary Energy Centre No. 2 Inc.
148186,2023-10-01 00:00:00,EGC1,21.23,ENMAX Energy Corporation
148187,2023-10-01 00:00:00,CAL1,20.98,Calgary Energy Centre No. 2 Inc.
148188,2023-10-01 00:00:00,CAL1,19.98,Calgary Energy Centre No. 2 Inc.
148189,2023-10-01 00:00:00,EC01,19.74,ENMAX Cavalier LP
148190,2023-10-01 00:00:00,EGC1,19.57,ENMAX Energy Corporation
148191,2023-10-01 00:00:00,EGC1,19.21,ENMAX Energy Corporation
148192,2023-10-01 00:00:00,FNG1,0.0,Powerex Corp.
148193,2023-10-01 00:00:00,EC01,0.0,ENMAX Cavalier LP
148194,2023-10-01 00:00:00,NX01,0.0,Nexen Inc.
148195,2023-10-01 00:00:00,CMH1,0.0,City of Medicine Hat
148196,2023-10-01 00:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
148197,2023-10-01 00:00:00,HRM,0.0,Milner Power Limited Partnership  by its General Partner Milner Power Inc.
148198,2023-10-01 00:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
148199,2023-10-01 01:00:00,CMH1,999.99,City of Medicine Hat
148200,2023-10-01 01:00:00,CAL1,703.34,Calgary Energy Centre No. 2 Inc.
148201,2023-10-01 01:00:00,CAL1,703.33,Calgary Energy Centre No. 2 Inc.
148202,2023-10-01 01:00:00,EC01,572.0,ENMAX Cavalier LP
148203,2023-10-01 01:00:00,EGC1,555.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
148204,2023-10-01 01:00:00,CAL1,197.79,Calgary Energy Centre No. 2 Inc.
148205,2023-10-01 01:00:00,EGC1,45.35,Capital Power GP Holdings Inc.
148206,2023-10-01 01:00:00,EGC1,40.88,Capital Power GP Holdings Inc.
148207,2023-10-01 01:00:00,CMH1,30.0,City of Medicine Hat
148208,2023-10-01 01:00:00,EGC1,21.23,ENMAX Energy Corporation
148209,2023-10-01 01:00:00,CAL1,20.98,Calgary Energy Centre No. 2 Inc.
148210,2023-10-01 01:00:00,CAL1,19.98,Calgary Energy Centre No. 2 Inc.
148211,2023-10-01 01:00:00,EC01,19.74,ENMAX Cavalier LP
148212,2023-10-01 01:00:00,EGC1,19.57,ENMAX Energy Corporation
148213,2023-10-01 01:00:00,EGC1,19.21,ENMAX Energy Corporation
148214,2023-10-01 01:00:00,FNG1,0.0,Powerex Corp.
148215,2023-10-01 01:00:00,EC01,0.0,ENMAX Cavalier LP
148216,2023-10-01 01:00:00,CMH1,0.0,City of Medicine Hat
148217,2023-10-01 01:00:00,NX01,0.0,Nexen Inc.
148218,2023-10-01 01:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
148219,2023-10-01 01:00:00,HRM,0.0,Milner Power Limited Partnership  by its General Partner Milner Power Inc.
148220,2023-10-01 01:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
148221,2023-10-01 02:00:00,CMH1,999.99,City of Medicine Hat
148222,2023-10-01 02:00:00,CAL1,703.34,Calgary Energy Centre No. 2 Inc.
148223,2023-10-01 02:00:00,CAL1,703.33,Calgary Energy Centre No. 2 Inc.
148224,2023-10-01 02:00:00,EC01,572.0,ENMAX Cavalier LP
148225,2023-10-01 02:00:00,EGC1,555.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
