,CAL1,CMH1,EC01,EGC1,FNG1,NX01
2023_1,283.6450675675676,186.68855140186918,40.2132967032967,0.0,0.0,0.0
2023_2,216.46808383233537,192.8644210526316,34.340357142857144,0.0,0.0,0.0
2023_3,122.88252688172044,187.52921658986173,49.40451612903227,103.68733333333333,0.0,0.0
2023_4,139.98872222222224,206.17517073170734,36.58911111111111,66.94804761904761,0.0,0.0
2023_5,204.3334131736527,179.71129032258065,459.7459649122807,52.52919431279621,0.0,0.0
2023_6,167.65132183908048,176.58959798994977,72.44630434782609,55.32589999999999,0.0,0.0
